"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Parameterization.nlogo"
"Parameterize Vision and Separation"
"06/11/2024 14:24:42:098 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","Detect-Dist-Food","see-wind-arrows","pen","Size-Bird","Length-Odor-Trails","N-Birds","Step","Sep-Vision-Interdependent","JitterOdor","Sep-in-crosswind","ZigZagAngle","TimeUpWind","TimeZigZagging","TotalTimeSpentZigZagging","weight-flock-crosswind","communicate","max-separate-turn","max-align-cohere-turn","Olfaction-Threshold","Seed","minimum-separation","Detection-Distance","[step]","((count turtles with [did-find-food = 1]) / N-Birds) * 100"
"1","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","1","10","500","94"
"11","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","3","10","500","84"
"21","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","5","10","500","84"
"6","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","2","10","500","62"
"17","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","4","20","333","100"
"16","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","4","10","500","54"
"31","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","7","10","500","62"
"26","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","6","10","500","57.99999999999999"
"12","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","3","20","333","100"
"22","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","5","20","500","98"
"7","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","2","20","354","100"
"2","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","1","20","332","100"
"27","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","6","20","500","98"
"32","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","7","20","500","90"
"33","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","7","30","464","100"
"8","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","2","30","334","100"
"13","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","3","30","416","100"
"28","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","6","30","344","100"
"3","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","1","30","424","100"
"18","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","4","30","351","100"
"41","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","2","10","500","0"
"37","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","1","20","385","100"
"36","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","1","10","500","0"
"23","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","5","30","500","86"
"42","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","2","20","378","100"
"46","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","3","10","500","10"
"47","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","3","20","409","100"
"9","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","2","40","369","100"
"51","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","4","10","500","57.99999999999999"
"43","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","2","30","375","100"
"56","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","5","10","500","44"
"4","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","1","40","432","100"
"24","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","5","40","333","100"
"48","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","3","30","374","100"
"57","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","5","20","500","98"
"14","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","3","40","451","100"
"61","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","6","10","500","50"
"52","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","4","20","500","24"
"53","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","4","30","383","100"
"66","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","7","10","500","50"
"58","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","5","30","399","100"
"59","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","5","40","381","100"
"19","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","4","40","500","80"
"62","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","6","20","500","54"
"71","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","1","10","401","100"
"38","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","1","30","500","0"
"29","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","6","40","500","66"
"76","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","2","10","357","100"
"67","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","7","20","500","60"
"49","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","3","40","395","100"
"34","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","1","7","40","395","100"
"77","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","2","20","338","100"
"73","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","1","30","336","100"
"74","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","1","40","336","100"
"81","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","3","10","500","64"
"63","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","6","30","500","80"
"72","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","1","20","500","0"
"82","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","3","3","20","323","100"
"68","5","false","false","5","200","50","1","false","0","false","45","15","5","60","0.95","true","2","40","1","2","7","30","440","100"
