"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Parameterization.nlogo"
"Parameterize max turn angle"
"06/11/2024 14:08:18:285 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","Detect-Dist-Food","see-wind-arrows","pen","Size-Bird","TotalTimeSpentZigZagging","Length-Odor-Trails","ZigZagAngle","Sep-Vision-Interdependent","TimeUpWind","TimeZigZagging","N-Birds","JitterOdor","Step","minimum-separation","Detection-Distance","weight-flock-crosswind","communicate","Olfaction-Threshold","Seed","max-separate-turn","max-align-cohere-turn","[step]","((count turtles with [did-find-food = 1]) / N-Birds) * 100"
"8","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","1","40","465","100"
"12","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","1.5","40","419","100"
"16","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","2","40","492","100"
"10","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","1.5","10","431","100"
"15","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","2","20","486","100"
"11","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","1.5","20","484","100"
"7","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","1","20","473","100"
"14","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","2","10","460","100"
"6","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","1","10","500","80"
"3","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","0.5","20","500","78"
"4","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","0.5","40","500","84"
"1","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","0.5","1","500","64"
"18","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","0.5","10","500","38"
"20","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","0.5","40","500","32"
"19","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","0.5","20","500","38"
"23","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","1","20","500","40"
"2","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","0.5","10","500","74"
"27","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","1.5","20","500","34"
"26","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","1.5","10","500","40"
"31","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","2","20","500","34"
"13","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","2","1","500","57.99999999999999"
"22","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","1","10","500","40"
"9","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","1","1.5","1","500","57.99999999999999"
"21","5","false","false","5","60","200","45","false","15","5","50","0","1","6","50","0.95","false","1","2","1","1","500","44"
