"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_More Ranges"
"07/10/2024 11:00:39:945 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"17","false","50","false","200","40","50","true","0","9","true","15","500","49","34","15","0","15","34"
"29","false","50","false","200","40","50","true","0","15","true","15","500","25","12","15","2","15","10"
"19","false","50","false","200","40","50","true","0","10","true","15","500","39","24","15","0","15","24"
"23","false","50","false","200","40","50","true","0","12","true","15","500","43","32","15","4","15","28"
"31","false","50","false","200","40","50","true","0","16","true","15","500","37","22","15","0","15","22"
"27","false","50","false","200","40","50","true","0","14","true","15","500","45","33","15","3","15","30"
"13","false","50","false","200","40","50","true","0","7","true","15","500","24","10","15","1","15","9"
"24","false","50","false","200","40","50","true","0","12","true","35","500","49","15","35","1","35","14"
"25","false","50","false","200","40","50","true","0","13","true","15","500","33","26","15","8","15","18"
"21","false","50","false","200","40","50","true","0","11","true","15","500","19","6","15","2","15","4"
"1","false","50","false","200","40","50","true","0","1","true","15","500","34","20","15","1","15","19"
"30","false","50","false","200","40","50","true","0","15","true","35","500","38","3","35","0","35","3"
"14","false","50","false","200","40","50","true","0","7","true","35","500","42","7","35","0","35","7"
"3","false","50","false","200","40","50","true","0","2","true","15","500","45","30","15","0","15","30"
"11","false","50","false","200","40","50","true","0","6","true","15","500","36","27","15","6","15","21"
"28","false","50","false","200","40","50","true","0","14","true","35","500","47","15","35","3","35","12"
"5","false","50","false","200","40","50","true","0","3","true","15","500","28","13","15","0","15","13"
"9","false","50","false","200","40","50","true","0","5","true","15","500","0","2","0","2","0","0"
