"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_More Ranges"
"07/09/2024 11:17:39:349 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"1","false","50","false","200","40","50","true","0","1","true","30","500","42","12","30","0","30","12"
"27","false","50","false","200","40","50","true","0","14","true","30","500","46","19","30","3","30","16"
"3","false","50","false","200","40","50","true","0","2","true","30","500","45","15","30","0","30","15"
"5","false","50","false","200","40","50","true","0","3","true","30","500","40","10","30","0","30","10"
"23","false","50","false","200","40","50","true","0","12","true","30","500","49","20","30","1","30","19"
"13","false","50","false","200","40","50","true","0","7","true","30","500","35","7","30","2","30","5"
"31","false","50","false","200","40","50","true","0","16","true","30","500","43","13","30","0","30","13"
"17","false","50","false","200","40","50","true","0","9","true","30","500","49","19","30","0","30","19"
"29","false","50","false","200","40","50","true","0","15","true","30","500","37","7","30","0","30","7"
"19","false","50","false","200","40","50","true","0","10","true","30","500","43","13","30","0","30","13"
"7","false","50","false","200","40","50","true","0","4","true","30","500","0","0","0","0","0","0"
"15","false","50","false","200","40","50","true","0","8","true","30","500","35","16","24","5","24","11"
"9","false","50","false","200","40","50","true","0","5","true","30","500","0","0","0","0","0","0"
"21","false","50","false","200","40","50","true","0","11","true","30","500","31","3","29","1","29","2"
"14","false","50","false","200","40","50","true","0","7","true","49","424","50","1","49","0","49","1"
"33","false","50","false","200","40","50","true","0","17","true","30","500","38","8","30","0","30","8"
"11","false","50","false","200","40","50","true","0","6","true","30","500","37","18","25","6","25","12"
"25","false","50","false","200","40","50","true","0","13","true","30","500","38","13","27","2","27","11"
"28","false","50","false","200","40","50","true","0","14","true","49","500","47","1","46","0","46","1"
"8","false","50","false","200","40","50","true","0","4","true","49","500","0","0","0","0","0","0"
"45","false","50","false","200","40","50","true","0","23","true","30","500","49","20","30","1","30","19"
"43","false","50","false","200","40","50","true","0","22","true","30","500","45","20","30","5","30","15"
"10","false","50","false","200","40","50","true","0","5","true","49","500","0","0","0","0","0","0"
"41","false","50","false","200","40","50","true","0","21","true","30","377","50","20","30","0","30","20"
"39","false","50","false","200","40","50","true","0","20","true","30","500","43","20","28","5","28","15"
"30","false","50","false","200","40","50","true","0","15","true","49","500","0","0","0","0","0","0"
"22","false","50","false","200","40","50","true","0","11","true","49","500","0","0","0","0","0","0"
"18","false","50","false","200","40","50","true","0","9","true","49","500","24","1","23","0","23","1"
"35","false","50","false","200","40","50","true","0","18","true","30","500","38","18","25","5","25","13"
"37","false","50","false","200","40","50","true","0","19","true","30","500","4","11","4","11","4","0"
"40","false","50","false","200","40","50","true","0","20","true","49","500","42","1","41","0","41","1"
"20","false","50","false","200","40","50","true","0","10","true","49","500","0","0","0","0","0","0"
"53","false","50","false","200","40","50","true","0","27","true","30","500","45","19","30","4","30","15"
"6","false","50","false","200","40","50","true","0","3","true","49","500","18","1","17","0","17","1"
"51","false","50","false","200","40","50","true","0","26","true","30","500","42","13","30","1","30","12"
"48","false","50","false","200","40","50","true","0","24","true","49","500","45","1","44","0","44","1"
"4","false","50","false","200","40","50","true","0","2","true","49","500","28","1","27","0","27","1"
"24","false","50","false","200","40","50","true","0","12","true","49","500","36","1","35","0","35","1"
"47","false","50","false","200","40","50","true","0","24","true","30","500","28","20","18","10","18","10"
"49","false","50","false","200","40","50","true","0","25","true","30","500","39","9","30","0","30","9"
"26","false","50","false","200","40","50","true","0","13","true","49","500","22","1","21","0","21","1"
"52","false","50","false","200","40","50","true","0","26","true","49","500","0","0","0","0","0","0"
"58","false","50","false","200","40","50","true","0","29","true","49","500","0","0","0","0","0","0"
"69","false","50","false","200","40","50","true","0","35","true","30","500","33","20","18","5","18","15"
"12","false","50","false","200","40","50","true","0","6","true","49","500","0","1","0","1","0","0"
"50","false","50","false","200","40","50","true","0","25","true","49","500","0","0","0","0","0","0"
