"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf_Lower Range"
"07/09/2024 11:55:26:676 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"7","false","50","false","200","40","50","true","0","102","true","30","500","38","8","30","0","30","8"
"1","false","50","false","200","40","50","true","0","101","true","30","388","50","20","30","0","30","20"
"19","false","50","false","200","40","50","true","0","104","true","30","500","44","20","30","6","30","14"
"3","false","50","false","200","40","50","true","0","101","true","44","365","50","6","44","0","44","6"
"2","false","50","false","200","40","50","true","0","101","true","42","500","49","8","41","0","41","8"
"25","false","50","false","200","40","50","true","0","105","true","30","500","32","8","29","5","29","3"
"4","false","50","false","200","40","50","true","0","101","true","46","385","50","4","46","0","46","4"
"15","false","50","false","200","40","50","true","0","103","true","44","500","43","2","41","0","41","2"
"13","false","50","false","200","40","50","true","0","103","true","30","500","34","7","27","0","27","7"
"34","false","50","false","200","40","50","true","0","106","true","46","500","0","0","0","0","0","0"
"26","false","50","false","200","40","50","true","0","105","true","42","500","42","4","40","2","40","2"
"23","false","50","false","200","40","50","true","0","104","true","48","500","0","2","0","2","0","0"
"20","false","50","false","200","40","50","true","0","104","true","42","500","41","8","40","7","40","1"
"22","false","50","false","200","40","50","true","0","104","true","46","500","0","4","0","4","0","0"
"28","false","50","false","200","40","50","true","0","105","true","46","500","46","2","44","0","44","2"
"24","false","50","false","200","40","50","true","0","104","true","49","500","0","1","0","1","0","0"
"27","false","50","false","200","40","50","true","0","105","true","44","500","43","3","42","2","42","1"
"21","false","50","false","200","40","50","true","0","104","true","44","500","0","6","0","6","0","0"
"31","false","50","false","200","40","50","true","0","106","true","30","500","7","3","4","0","4","3"
"14","false","50","false","200","40","50","true","0","103","true","42","500","41","2","39","0","39","2"
"32","false","50","false","200","40","50","true","0","106","true","42","500","3","1","2","0","2","1"
"42","false","50","false","200","40","50","true","0","107","true","49","500","0","0","0","0","0","0"
"10","false","50","false","200","40","50","true","0","102","true","46","500","0","0","0","0","0","0"
"8","false","50","false","200","40","50","true","0","102","true","42","500","24","2","22","0","22","2"
"11","false","50","false","200","40","50","true","0","102","true","48","500","0","0","0","0","0","0"
"43","false","50","false","200","40","50","true","0","108","true","30","500","32","16","27","11","27","5"
"5","false","50","false","200","40","50","true","0","101","true","48","500","40","2","38","0","38","2"
"33","false","50","false","200","40","50","true","0","106","true","44","500","5","1","4","0","4","1"
"49","false","50","false","200","40","50","true","0","109","true","30","500","45","19","29","3","29","16"
"37","false","50","false","200","40","50","true","0","107","true","30","500","7","15","7","15","7","0"
"44","false","50","false","200","40","50","true","0","108","true","42","500","44","6","42","4","42","2"
"30","false","50","false","200","40","50","true","0","105","true","49","500","22","1","22","1","22","0"
