"BehaviorSpace results (NetLogo 6.2.2)"
"Model for Pub.nlogo"
"Mixed Group_Set DD by Olf"
"07/08/2024 17:20:50:970 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pen","N-Birds","see-wind-arrows","Length-Odor-Trails","Olfaction-Threshold","Detection-Distance","communicate","weight-flock-crosswind","Seed","Mixed-Group","Number-Of-Low-Olf","[step]","(count turtles with [did-find-food = 1])","(count turtles with [ever-find-odor = 1])","(count turtles with [ever-find-odor = 0 and did-find-food = 1])","(count turtles with [ever-find-odor = 1 and did-find-food = 0])","(count turtles with [did-find-food = 1 and dd = 50])","(count turtles with [did-find-food = 1 and dd = 10])"
"5","false","50","false","200","40","50","true","0","2","true","5","500","41","36","5","0","5","36"
"25","false","50","false","200","40","50","true","0","7","true","5","500","13","11","5","3","5","8"
"29","false","50","false","200","40","50","true","0","8","true","5","500","26","22","5","1","5","21"
"2","false","50","false","200","40","50","true","0","1","true","10","500","31","23","9","1","9","22"
"21","false","50","false","200","40","50","true","0","6","true","5","500","16","32","5","21","5","11"
"9","false","50","false","200","40","50","true","0","3","true","5","500","23","18","5","0","5","18"
"17","false","50","false","200","40","50","true","0","5","true","5","500","0","4","0","4","0","0"
"6","false","50","false","200","40","50","true","0","2","true","10","500","39","30","10","1","10","29"
"1","false","50","false","200","40","50","true","0","1","true","5","500","28","27","5","4","5","23"
"22","false","50","false","200","40","50","true","0","6","true","10","500","28","30","10","12","10","18"
"26","false","50","false","200","40","50","true","0","7","true","10","500","15","10","10","5","10","5"
"10","false","50","false","200","40","50","true","0","3","true","10","500","25","15","10","0","10","15"
"13","false","50","false","200","40","50","true","0","4","true","5","500","8","4","5","1","5","3"
"30","false","50","false","200","40","50","true","0","8","true","10","500","30","21","9","0","9","21"
"7","false","50","false","200","40","50","true","0","2","true","20","500","45","25","20","0","20","25"
"18","false","50","false","200","40","50","true","0","5","true","10","500","0","3","0","3","0","0"
"14","false","50","false","200","40","50","true","0","4","true","10","500","13","4","10","1","10","3"
"11","false","50","false","200","40","50","true","0","3","true","20","500","32","12","20","0","20","12"
"33","false","50","false","200","40","50","true","0","9","true","5","500","49","44","5","0","5","44"
"31","false","50","false","200","40","50","true","0","8","true","20","500","28","19","17","8","17","11"
"37","false","50","false","200","40","50","true","0","10","true","5","500","31","27","5","1","5","26"
"3","false","50","false","200","40","50","true","0","1","true","20","500","35","18","20","3","20","15"
"34","false","50","false","200","40","50","true","0","9","true","10","500","49","39","10","0","10","39"
"19","false","50","false","200","40","50","true","0","5","true","20","500","0","1","0","1","0","0"
"28","false","50","false","200","40","50","true","0","7","true","40","500","44","4","40","0","40","4"
"23","false","50","false","200","40","50","true","0","6","true","20","500","33","23","20","10","20","13"
"15","false","50","false","200","40","50","true","0","4","true","20","500","35","16","19","0","19","16"
"12","false","50","false","200","40","50","true","0","3","true","40","500","46","6","40","0","40","6"
"27","false","50","false","200","40","50","true","0","7","true","20","500","24","10","16","2","16","8"
"38","false","50","false","200","40","50","true","0","10","true","10","500","33","25","10","2","10","23"
"45","false","50","false","200","40","50","true","0","12","true","5","500","40","43","5","8","5","35"
"4","false","50","false","200","40","50","true","0","1","true","40","500","44","5","39","0","39","5"
