BehaviorSpace results (NetLogo 6.2.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model for Pub_v12_Full Parameter Space.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameterizing just MinSep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/21/2025 16:41:39:348 -0400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,450,0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],pen,see-wind-arrows,Patch-Scaler,Tick-Scaler,Total-Model-Time-In-Seconds,Size-Of-Food-Source-In-Meters,Total-Time-Spent-Trying-To-Relocate-Odor-Before-Give-Up-Seconds,Starting-Distance-From-Plume-Width-Meters,Starting-Distance-From-Plume-Length-Meters,N-Species2,Species1,S1-Dist-Food-Meters,N-Species1,weight-flocking,Time-Per-Turn,max-turning-radius-degrees-per-second,max-align-cohere-turn-degrees-per-second,max-separate-turn-degrees-per-second,S1-Body-Length-Meters,Eddy-Diffusivity,Rate-Of-Puff-Radius-Increase,Odor-Source-Release-Rate,zig-zag-heading-offset,S1-Flight-Speed-MpS,Denominator-For-Relationship-Between-DR-and-MinSep,S1-DR,S1-Olfaction,Strategy,Seed,[step],(count turtles with [did-find-food = 1])
1,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,1,1644,4
13,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,13,1211,5
4,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,4,1384,7
29,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,high,Network Foraging,9,1443,24
9,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,9,1273,13
8,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,8,1417,25
23,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,high,Network Foraging,3,1276,27
16,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,16,1283,10
3,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,3,1300,1
22,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,high,Network Foraging,2,2198,19
6,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,6,1336,22
14,FALSE,FALSE,6,0.6,3600,50,300,2000,3000,0,Set Manual,50,50,0.8,10,50,50,1,0.9,-1,0.001,5,20,9,2,60,low,Network Foraging,14,1442,8
